passage,tag
"The fire was burning low in the grate and the brandy was finished and they had run out of excuses to not do what they had both known they were going to do since approximately dinner. He kissed her by the fire first and she kissed him back and the kissing settled the matter. He stood and took her hand and she took it and they went upstairs and he opened the bedroom door and stood back to let her in, which was a courtesy she found she liked. She turned in the room and he was there and they undressed in the firelight coming through the open door, watching each other. He was beautiful in that light and she told him so and he looked at her in a way that said he was thinking the same thing. He laid her on the bed and covered her with his body and she wrapped herself around him. He kissed every part of her he could reach and she ran her hands over every part of him and they took their time because they had decided they were going to take their time. She came before he entered her and she was still trembling when he did and she felt every sensation with unusual acuity, as though pleasure had sharpened her. They moved together and she rose with him and met each thrust and when she came again she felt it in her toes and gripped him and heard herself cry out. He came with her name on his lips and lay over her afterward, heavy and warm, and neither of them spoke for a long time.",strong
"She had said she would think about it, which they had both known was not what she meant. She knocked on his door at ten-fifteen and he opened it as though he had been expecting her, which he had. She kissed him in the doorway and he stepped back to let her in and then closed the door and kissed her again, longer, with his hands in her hair. They went to the bedroom without ceremony, both of them past the ceremony stage. He undressed her in the dark and she undressed him and they moved onto the bed and she felt the cool sheets and his warm skin and the contrast between them was its own pleasure. He kissed her mouth and throat and took his time with her breasts and she ran her fingers along the line of his shoulders and held him close. He moved his hand between her thighs and she arched into his palm and he watched her face while he touched her, learning what he learned. She came under his hands with her face pressed to his shoulder and then she turned and pulled him over her and took him in and felt the fullness of him and made a sound she felt in her spine. He moved inside her slowly at first and she urged him faster with her hands on his back and he went faster and she went with him. The pleasure crested and broke and she held on and he held her and they came apart together and lay afterward in the dark, breathing, not speaking, which was exactly right. She lay with her leg over his and felt entirely at ease in her own body. He said her name softly and she said his and they were quiet after that.",strong
"She had not been touched in fourteen months and she had been pretending this was fine and it had been fine and it was now considerably better than fine. He undressed her with a patience that she would have found exasperating if it had not felt so good — each button an event, each newly revealed inch of her skin worthy of his attention. She stood in the soft light of the hotel room and let him look at her and felt no urge to cover herself, which was not always the case and which told her something about him. He touched her as though he had all the time in the world and as though she were worth all of it, which was not a thing she had known she needed until she had it. She pushed him back onto the bed and climbed over him and looked down at him and he looked up at her with his hands on her hips and neither of them was in a hurry. She lowered herself onto him slowly and felt him fill her and she stayed still for a moment with her eyes closed, just feeling it, and then she began to move. He watched her and his hands moved on her hips and then her waist and then her breasts and she moved above him with increasing urgency and he rose to meet her. She came above him, arching, with his name in her mouth, and he came a moment later, his hands gripping her hips, and she sat on him afterward with her hands on his chest and her hair falling around her face and felt entirely, completely herself. He stayed and she was glad he stayed and in the morning they were easy with each other in the way of people who have done something right. He said her name and she answered and they lay in the warm lamplight together and neither of them was going anywhere.",strong
"The conference had ended and everyone else had gone to their rooms and they were the last two at the bar, which was not an accident on either of their parts. She had been aware of him for three days and was tired of being only aware. She kissed him first, at the elevator, and he kissed her back without surprise. His room was on the seventh floor and they kissed in the elevator and in the corridor and against his door while he found his key. Inside, the curtains were open to the city lights and they left them open. He turned to her in the city-light darkness and she went to him and they undressed each other and she looked at him in the dim glow from the window and he looked at her and the looking was mutual and unhurried. He laid her on the bed and kissed her from her throat to her hip and she held his head and told him what she wanted and he gave her what she wanted without detour. She came under his mouth and pulled him up and brought him into her and felt the deep pleasure of it settle through her like something finally resolved. He moved inside her and she wrapped her legs around him and they found a pace that suited them both and she climbed toward a second release with his breath warm against her ear. When they came it was together and she felt his whole body tighten and release and she held him through it and he held her and they lay afterward in the city light, not talking, until she fell asleep.",strong
"She had made her peace with being alone and then he had shown up at her door with a bottle of wine and a look on his face that was very specific about what he was there for, and she had decided that her peace could wait. She let him in and they drank some of the wine and talked for an appropriate amount of time and then she kissed him, decisively. He responded with an enthusiasm that suggested he had been waiting for her to do exactly that. He was a good kisser, which she had suspected and confirmed, and a thorough one, and she was in favor of both. He drew her toward the bedroom with his hands on her hips and she did not resist and they stood in the bedroom in the lamplight and undressed each other. She looked at him without shyness and he looked at her without shyness and the looking was comfortable and also very warm. He pulled her close and the sensation of skin on skin made her breath catch, which she had not expected as a surprise and was a surprise. He moved her toward the bed and covered her with his body and kissed her until she was making sounds she had not made in a long time. He moved between her thighs and she opened to him and when he entered her she felt the pleasure of it as something whole-body and total. He moved and she moved and the rhythm they found was urgent and deep and she came before she intended to, hard and prolonged, and he came shortly after and lay against her shoulder and they were both quiet for a while afterward.",strong
"She had gone to his room to return the book she had borrowed, which was the thinnest excuse she had ever made for herself, and she suspected he knew it and suspected she did not care. He opened the door and took the book and set it on the table without looking at it and looked at her instead. She looked at him. He stepped back from the door and she came in and he closed it. They were kissing before the latch clicked. He was an unhurried kisser and his hands were in her hair and she was pressed against the door and thoroughly occupied. He walked her toward the bed and she sat on it and he stood before her and she reached for his belt and he helped her and then she helped him and he was looking at her in a way that made her feel like the only point of interest in the room. He laid her back and took his time with her, his mouth and hands moving over her with a focused attention, and she let herself be attended to and told him with her sounds and her hands what she wanted more of. She came under his hands and was still breathless when he moved over her and entered her and the sensation of him inside her was acute and total. He moved and she rose to meet him and they went together toward something that crested and broke over both of them at once and she held him through it and he held her and they stayed that way while the room came back around them. She lay on her back and looked at the ceiling and felt the particular clarity of having done what she meant to do. He put his hand on her stomach and she put her hand over his.",strong
"The hotel bar had closed at midnight and they had kept their table long past closing on the bartender's sufferance, talking, until the bartender had made his opinion clear by turning the lights up. They had gone to his room with the casualness of a decision already made. He opened the door and she went through it and turned and he was there and she kissed him with the momentum of three hours of conversation and six months of wanting. He kissed her back and his hands went to her waist and pulled her closer and she went closer without reservation. He undressed her in the near-dark of the room with the curtains half-open and she undressed him and they moved to the bed and lay down together and she felt the unfamiliar familiarity of a new body that was somehow exactly right. He kissed her throat and her shoulder and the curve of her breast and she arched into his mouth and his hands and gave herself over to what he was doing. She put her hands on his head and directed him and he went where she directed without resistance, which was her favorite quality in a man in this particular context. She came from his mouth and pulled him up and took him in and the sensation of fullness was exactly what she needed. They moved together and she felt herself building toward a second release, which she had not expected but welcomed, and he moved deeper and she tightened around him and they came together with a completeness that felt earned. She put her head on his chest and felt his heartbeat under her ear and the night was long and neither of them was going anywhere.",strong
"She had decided on her way up in the elevator and she had not un-decided in the hallway and she was not going to un-decide now. She knocked and he opened the door in his shirtsleeves and she kissed him before he could say anything. He kissed her back immediately and decisively and pulled her into the room and closed the door. She got his shirt off and he got her dress off and they looked at each other and she felt no urge to retreat, which confirmed that the elevator decision had been the right one. He pulled her close and the warmth of his chest against her skin was a pleasure that was also a relief, as though something that had been tight in her for a long time had loosened. He walked her backward to the bed and she sat on it and pulled him down and he came willingly and covered her and the weight of him was right. He kissed her and moved down her body with a patience and attention that she found she could not rush and did not want to rush. She came from his hands and then again from his mouth and pulled him up and into her and felt the deep pleasure of him fill her. He moved slowly at first and then with increasing urgency and she matched him and urged him deeper with her heels at his back and he went deeper and she went with him to a place that was very simple and very complete. They lay afterward with their legs tangled and she felt entirely present in herself, which was not always the case and which she credited entirely to him. She pressed herself against the warmth of him and felt his arm around her waist. They lay like that in the quiet and she was content to stay exactly there.",strong
"She had forgotten what it was to be wanted like this and the remembering was extraordinary. He kissed her as though kissing her were an end in itself and not a means to something else, which was a distinction she had not always had the patience for and now found she valued enormously. His hands moved over her with the attentiveness of someone who was paying close and genuine attention, not performing attention, and the difference was everything. She undressed him and he undressed her and she looked at him in the low light and felt desire as something physical and immediate and good. He laid her on the bed and she pulled him down and he covered her and she felt the length and warmth of him against her and made a sound of satisfaction that surprised her. He moved down her body and took his time and she arched under his hands and held his head and told him she wanted more, which was an unfamiliar freedom and one she intended to use. She came under his mouth in a long, rolling wave and was still trembling when he entered her. He moved inside her slowly and she felt each movement with acute sensitivity and she moved with him and the pleasure built toward something vast. She came again while he was inside her, gripping his shoulders, and he followed her and they lay afterward in the warmth of it, neither of them speaking, the silence entirely comfortable. She turned in his arms and felt the ease of it, the particular ease of something finally resolved. He kissed her forehead and she closed her eyes.",strong
"The dress had a zip at the back and he found it and drew it down slowly, following the path of it with his mouth, and she stood still and let him and felt the cool air on the newly revealed skin of her back. He turned her to face him and looked at her and she looked at him and neither of them was in any hurry. He unhooked her bra and drew the straps off her shoulders and his expression when he looked at her was one she felt in her sternum. She reached for his tie and drew it loose and worked the buttons of his shirt and spread her hands on the warm skin of his chest when it was bare. He walked her back to the bed and she sat on the edge of it and finished undressing him and he looked down at her and she looked up at him and then she lay back and he came over her. He kissed her and then moved down her body, deliberate and thorough, and she gripped the coverlet and let herself be thoroughly attended to. She came under his hands with a force that arched her off the bed and he held her through it and then entered her in the same fluid motion and she gasped at the transition from one pleasure to the other. He moved inside her and she rose to meet him, her hands on his back, feeling the muscles work, and they moved together in a rhythm that deepened and quickened. She came a second time just before he did and she felt him tighten and release inside her and they lay afterward in a comfortable tangle and she fell asleep before she intended to. She lay with his arm around her and felt the room settle into its nighttime quiet. She thought she had been right about him and that this was a good thing to have been right about.",strong
"She had been watching his mouth all through dinner and now his mouth was on her neck and she had been entirely right about it. He walked her backward toward the bedroom with his hands on her hips and she went backward without looking, trusting the furniture to stay where it was, which it did. They undressed each other in the lamplight — her dress, his jacket, her bra, his shirt — with the efficiency of two people who have made a clear decision. She looked at him and he looked at her and she felt beautiful and desired in a way that was not about ego but about the specific quality of his attention. He laid her on the bed and spent considerable time on her throat and her shoulders and her breasts and she held his head and ran her hands through his hair and told him when he found something she particularly liked. He moved his hand between her thighs and she opened to him and he watched her face while he learned her and she let him see everything. She came under his hand and then under his mouth and then she pulled him up and brought him into her and felt the deep settled pleasure of it. He moved and she moved with him and the rhythm they found was urgent and perfectly calibrated and she came a third time with her face against his shoulder. He came moments after her and they lay in the aftermath with their breathing loud in the quiet room and she felt wholly and completely satisfied, which was not a state she had been in recently and which she intended to return to. She pressed her face against his shoulder and breathed and he tightened his arm around her and the room was warm.",strong
"It was the third date and they had been circling the question of what came after dinner and now, in the elevator of her building, the question had resolved itself without requiring discussion. He kissed her in the elevator and she kissed him back with the straightforwardness of a decision made. She got her key in the lock on the second try, which she considered adequate performance under the circumstances, and they went inside and the door closed and she turned to him. He kissed her again and his hands moved to the zip of her dress and she reached up and moved her hair out of the way, which was all the permission he needed. He drew the zip down and she let the dress fall and turned to face him in the lamplight and he looked at her with an expression that told her everything she needed to know. She undressed him with equal efficiency and they stood together and she spread her hands on his chest and he put his hands on her hips and they stood like that for a moment before he walked her to the bed. He laid her down and kissed her from her collarbone to her hip and she lay back and felt the pleasure of his attention travel through her and build. He brought her to climax with his hands and with his mouth and she was still trembling when he entered her and the first deep stroke made her gasp. They moved together and she pulled him deeper and he went deeper and she rose with him toward the end of it, which came in a long, shuddering wave that left her entirely undone. He came just after her and lay beside her and she tucked herself against him and they lay in the lamplight and she told him it had been very good and he said it had been very good and they were both understating it. She lay in the lamplight and felt entirely herself, which was its own pleasure alongside the others. He said her name softly and she turned to look at him.",strong
"She reached for him in the dark and found him already awake, which she had expected, because she had not been the only one lying there thinking about it. He pulled her close and she went close and they kissed with the urgency of hours of restraint that had ended. He rolled her onto her back and settled over her and she felt him warm and solid above her and she arched up into him. He kissed her throat and her shoulders and worked his way down to her breasts with his mouth while his hand moved down her body and she held his head and felt the pleasure of it spread through her in radiating waves. She told him what she wanted and he gave it to her without hesitation, which was everything she had hoped for in him, and she came under his hands with a long, sustained pleasure and gripped his shoulders and held on through it. He entered her immediately after and the sensation of him inside her, when she was already sensitive from the first release, was acute and overwhelming and entirely welcome. He moved and she moved and the rhythm they found was deep and unhurried and then less unhurried and she felt herself climb toward a second release and she went toward it eagerly. She came again and felt him come with her and she held him and he held her and they lay afterward in the warm dark, her head on his shoulder, his hand on her back, and she fell asleep before she could think anything useful about what had just happened. She lay in his arms and felt the specific ease of something completed well. He kissed her temple and she closed her eyes.",strong
"He came to the door with his hair damp from the shower and she stood in the hallway and thought that it was possible she had made a very good decision. He stepped back and she came in and he closed the door and turned to her and she put her hands on his face and kissed him. He kissed her back and his hands went into her hair and they stood in the entryway kissing for a long time before they moved toward the bedroom. He undressed her carefully and she undressed him and they stood together in the lamp's warm circle of light and she looked at him and he looked at her. He was warm and solid under her hands and when she spread her palms on his chest she felt his heartbeat, which was rapid, which gratified her. He laid her down and covered her with his body and kissed her mouth and her jaw and her throat and her breasts and she arched up into his mouth. He moved down her body with an attention that felt like devotion, pausing at each thing she responded to, staying with it, and she felt the pleasure build in the slow, inevitable way of something truly well-done. She came with her hands in his hair and her back off the bed and the release was long and total. He moved up her body and entered her and she felt him fill her and she made a sound she felt in her bones. They moved together and she found herself climbing again, which she had not expected, and she went with it, and he went with her, and they came together in a surge of pleasure that left them both breathless. She stayed on top of him for a moment with her hands on his chest and her hair falling around her face, feeling the warmth of what had just happened. He looked up at her and his expression told her everything.",strong
"She had not known a person could be undressed so carefully and still feel so urgently wanted, but she understood now, in the lamplight of his bedroom, with his hands moving with that impossible patience over her skin. He kissed her mouth and her throat and worked his way down her body and she arched under his mouth and his hands and gave herself over to being tended to, which was something she had not allowed herself in a long time. She came the first time with his mouth on her and she heard herself cry out and did not try to make it quieter. He moved up her body and she pulled him down and took him in and the pleasure of it was immediate and complete. He moved inside her with a steadiness that built into something less steady and she rose with him, her legs around him, her hands gripping his back, feeling every movement. She came again while he was inside her and the second release was deeper and more prolonged than the first and she clung to him through it. He came moments after with a sound she felt in her chest and they lay afterward with their legs tangled and their breathing loud in the quiet room. She lay looking at the ceiling with his hand on her stomach and felt entirely at peace, which was not a state she had been in for a considerable time. She turned on her side to look at him and he was looking at her and she said his name and he said hers and that was sufficient. She lay in the warm afternoon light and felt entirely settled in herself. He said her name and she said his and they were quiet after that.",strong
"The last thing she had expected from this trip was this, and she was discovering that unexpected things were not always unwelcome. He kissed her for the first time on the balcony with the lights of the city below them and she kissed him back with the straightforwardness of someone who has decided to stop overthinking. They went inside and the balcony door swung closed behind them and the city lights came through the glass and they undressed each other in the blue-grey light of it. She looked at him and he looked at her and there was nothing tentative on either side. He walked her to the bed and laid her down and covered her and she felt the full length of his body against hers and made a sound that expressed her opinion of this. He kissed her thoroughly and moved his hands over her and she moved under his hands and told him what she wanted more of and he gave her more of it without editorial comment. He brought her to the edge with his mouth and she held the back of his head and went over it and came back to herself slowly. He moved over her and entered her and she arched to receive him and felt the pleasure of it settle through her. They found a rhythm and she matched him and urged him and he deepened and quickened and she felt herself climbing toward a second release and she went toward it without hesitation. She came with his name in her mouth and felt him come with her and they lay in the city light afterward, the room quiet around them.",strong
"She had told herself she was only going over to return the key and she had told herself this convincingly enough that she had almost believed it, until she was in his doorway and he was looking at her and she understood that she had not believed it at all. She handed him the key and he took it and looked at her and set it on the table without breaking eye contact and she kissed him. He kissed her back as though he had been waiting for exactly this and they went inside and the door closed and she did not think about the key again. He undressed her in the bedroom with his eyes on her face and then on her body and she undressed him and they stood together in the afternoon light. She touched him and he touched her and she felt the wanting as something simple and clear. He laid her on the bed and kissed her from her throat downward and she held his head and moved under his hands and felt the pleasure build in deliberate, unhurried waves. She came under his mouth with a long, grateful release and he moved up her body and entered her while she was still trembling. He moved inside her and she rose to meet him and they found a pace that was urgent and deep and entirely right. She came a second time, abruptly and powerfully, and he came shortly after with his forehead pressed to her shoulder. They lay afterward in the afternoon light and she felt the peculiar lightness that comes from having done exactly what you meant to do. She turned to look at him in the dim light and he was looking at her. They were both quiet and the quiet was good.",strong
"He had been patient for three months and she had been patient too and they had both run out of patience at the same moment, which was efficient. She kissed him first and he kissed her back and the patience was retroactively worth it. He took her by the hand and she went with him to the bedroom and they undressed each other slowly and she looked at him and he looked at her and she felt desire as something solid and real in her chest. He was warm under her hands and she spread her palms on his chest and felt his heartbeat and the heartbeat was fast and knowing it was fast made her feel powerful. He laid her down and she pulled him over her and he covered her and kissed her mouth and throat and breasts and she arched into his mouth. He moved his hand between her thighs and she opened to him and he watched her face and she held his gaze and let him see everything that was happening in it. She came hard under his hand and he held her through it and then entered her and the sensation of him inside her was both familiar and entirely new. They moved together and she wrapped her legs around him and pulled him close and he went deep and she went with him. When they came it was together and the completeness of it was something she felt she would remember specifically, the two of them in the afternoon light, entirely present. She pressed herself against him and the warmth of him was exactly right. He kissed her hair and the room was quiet around them.",strong
"She had said goodnight on the doorstep and then he had kissed her and she had kissed him back and the goodnight had been revised. They went inside and the door closed and she turned to him in her own hallway and kissed him again with more intention this time, and he kissed her back with more intention too, and they were both clear on the subject. He undressed her in the bedroom and she helped him and stood in the lamplight and felt his eyes on her and did not look away. She reached for his shirt and he shrugged it off and she spread her hands on his chest and he put his hands on her waist and pulled her close. The warmth of his skin against hers made her catch her breath and he heard it and kissed her more deeply. He moved her toward the bed and she sat and then lay back and he came over her and she felt his weight settle onto her and pulled him closer. He kissed her throat and her breasts and moved his hands over her with an attention that she found herself unable to hurry, which was unusual for her and exactly right. She came under his hands with a sound she did not suppress and then he entered her and the sensation of him filled her entirely. He moved inside her and she moved with him and the pleasure built in long, rolling waves. She came a second time while he was inside her and felt him follow and they lay afterward, his weight half on her, her hand on his back, breathing together.",strong
